Input_current,Output_voltage,Input_voltage,Duty_Cycle,Power,Irradiance,Temperature
4.21418189794014,43.5966121623338,26.8650587255403,0.385,118.833031334946,580,37
3.99469466681111,44.0531679555153,28.9752830192435,0.345,121.099857386543,580,32
5.13196553217416,49.8966182492677,28.9684101624962,0.423,155.353859892467,747,32
5.31616959520535,51.9908766790795,30.2615098621905,0.417,169.126638675938,747,11
4.97566533781769,51.7413881273339,31.9896530577399,0.385,167.050585629549,739,11
5.29359621695092,49.298676125466,27.5412216864902,0.439,151.6381556897,739,35
4.35539305909364,45.8669868028098,28.7116684719541,0.377,131.23808818954,637,35
4.69651621397334,43.8913265416267,24.3545405100986,0.443,120.582776106787,637,54
4.33838471355616,42.9168605161018,25.4608014843221,0.409,114.912847144736,608,54
4.18169571678988,42.7241797008747,25.8773299520564,0.391,113.789206346116,608,56
